Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,IN-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Rohit Chaudhary,Consumer,India,Bengaluru,Karnataka,375831,South,FUR-BO-10001798,Furniture,Bookcases,Godrej Somerset Collection Bookcase,21873.66,2,0.0,3499.79
2,IN-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Rohit Chaudhary,Consumer,India,Chennai,Tamil Nadu,784963,South,FUR-CH-10000454,Furniture,Chairs,"HNI Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",61116.99,3,0.0,18335.1
3,IN-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Karan Pillai,Corporate,India,Vadodara,Gujarat,131434,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,1220.77,2,0.0,573.76
4,IN-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Raj Kapoor,Consumer,India,Coimbatore,Tamil Nadu,133842,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,79957.72,5,0.45,-31983.09
5,IN-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Raj Kapoor,Consumer,India,Coimbatore,Tamil Nadu,454466,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,1867.73,2,0.2,210.12
6,IN-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Isha Agarwal,Consumer,India,Ahmedabad,Gujarat,541875,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",4079.81,7,0.0,1183.14
7,IN-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Isha Agarwal,Consumer,India,Pune,Maharashtra,373553,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,607.88,4,0.0,164.13
8,IN-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Isha Agarwal,Consumer,India,Pune,Maharashtra,310251,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,75747.19,6,0.2,7574.72
9,IN-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Isha Agarwal,Consumer,India,Nashik,Maharashtra,450791,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,1545.08,3,0.2,482.84
10,IN-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Isha Agarwal,Consumer,India,Mumbai,Maharashtra,901883,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,9594.15,5,0.0,2878.24
11,IN-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Isha Agarwal,Consumer,India,Mumbai,Maharashtra,162276,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,142466.36,9,0.2,7123.32
12,IN-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Isha Agarwal,Consumer,India,Pune,Maharashtra,246054,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,76103.9,4,0.2,5707.79
13,IN-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Dhruv Desai,Consumer,India,Coimbatore,Tamil Nadu,314154,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,1298.59,3,0.2,454.51
14,IN-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Shreya Joshi,Consumer,India,Surat,Gujarat,673662,West,OFF-BI-10003656,Office Supplies,Binders,Wipro PB200 Plastic Comb Binding Machine,34066.0,3,0.2,11071.45
15,IN-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Suresh Verma,Home Office,India,Delhi,Delhi,956437,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5745.64,5,0.8,-10342.14
16,IN-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Suresh Verma,Home Office,India,Bhopal,Madhya Pradesh,869521,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,212.42,3,0.8,-318.64
17,IN-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Arjun Tiwari,Consumer,India,Kanpur,Uttar Pradesh,445620,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",55600.98,6,0.0,1112.02
18,IN-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Aarav Tiwari,Consumer,India,Surat,Gujarat,894133,West,OFF-ST-10000107,Office Supplies,Storage,Wipro Super Stor/Drawer,4634.25,2,0.0,834.16
19,IN-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Neha Sharma,Consumer,India,Rajkot,Gujarat,795558,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,714.76,2,0.0,207.28
20,IN-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Neha Sharma,Consumer,India,Vadodara,Gujarat,165356,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,17825.58,3,0.2,1336.92
21,IN-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Neha Sharma,Consumer,India,Mumbai,Maharashtra,347062,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",1897.12,4,0.2,616.56
22,IN-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Chetan Pillai,Corporate,India,Jaipur,Rajasthan,617530,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,1624.91,7,0.0,422.48
23,IN-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Chetan Pillai,Corporate,India,Kanpur,Uttar Pradesh,176453,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",5038.39,7,0.0,1309.98
24,IN-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Sanjay Chaudhary,Consumer,India,Cuttack,Odisha,944797,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",5959.56,2,0.3,-85.14
25,IN-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Dhruv Mehta,Consumer,India,Vadodara,Gujarat,691246,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,87226.61,3,0.0,20062.12
26,IN-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Aditi Srivastava,Consumer,India,Ahmedabad,Gujarat,739633,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,972.61,2,0.2,352.57
27,IN-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Aditi Srivastava,Consumer,India,Surat,Gujarat,837244,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,7562.59,3,0.0,983.14
28,IN-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Divya Ghosh,Consumer,India,Cuttack,Odisha,975564,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",257466.4,7,0.5,-139031.86
29,IN-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Divya Ghosh,Consumer,India,Bhubaneswar,Odisha,902762,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,803.1,2,0.7,-588.94
30,IN-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Divya Ghosh,Consumer,India,Bhubaneswar,Odisha,946712,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",10370.7,3,0.2,1296.34
31,IN-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Divya Ghosh,Consumer,India,Siliguri,West Bengal,137079,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,272.54,2,0.2,91.98
32,IN-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Divya Ghosh,Consumer,India,Bhubaneswar,Odisha,462645,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",7206.38,6,0.2,810.72
33,IN-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Divya Ghosh,Consumer,India,Cuttack,Odisha,174200,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",572.64,6,0.7,-477.2
34,IN-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Divya Ghosh,Consumer,India,Cuttack,Odisha,536459,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,1315.96,2,0.2,296.09
35,IN-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Zara Chakraborty,Home Office,India,Indore,Madhya Pradesh,727203,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,2460.91,3,0.2,830.56
36,IN-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Karan Gupta,Corporate,India,Delhi,Delhi,875201,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,91644.92,7,0.2,10310.05
37,IN-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Karan Gupta,Corporate,India,Varanasi,Uttar Pradesh,742182,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",15941.82,5,0.6,-12354.91
38,IN-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Meera Khan,Home Office,India,Lucknow,Uttar Pradesh,184508,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",9462.89,9,0.2,2957.15
39,IN-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Meera Khan,Home Office,India,Kanpur,Uttar Pradesh,678211,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",44455.33,3,0.32,-3922.53
40,IN-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Meera Khan,Home Office,India,Lucknow,Uttar Pradesh,602028,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",17706.84,3,0.3,-1264.77
41,IN-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Meera Khan,Home Office,India,Indore,Madhya Pradesh,235753,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,30992.53,4,0.2,3486.66
42,IN-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Sanjay Nair,Corporate,India,Agra,Uttar Pradesh,383648,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,12288.53,4,0.2,1382.46
